step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
557,32938,1114,0.184949354,0.5,0.75,,,,,
558,32988,1116,0.322857391,0.5,0.75,,,,,
559,33022,1118,0.306547272,1,1,,,,,
560,33056,1120,0.354151508,0.5,0.75,,,,,
561,33106,1122,0.227597299,0.5,0.75,,,,,
562,33140,1124,0.279498691,0,0.5,,,,,
563,33190,1126,0.299923768,0.5,0.75,,,,,
564,33224,1128,0.317832804,0.5,0.75,,,,,
565,33274,1130,0.327462095,0,0.5,,,,,
566,33292,1132,0.320004046,0.5,0.75,,,,,
567,33342,1134,0.1889507,0.5,0.75,,,,,
568,33424,1136,0.315392834,0.5,0.75,,,,,
569,33490,1138,0.169272011,0.5,0.75,,,,,
570,33524,1140,0.295357904,1,1,,,,,
571,33574,1142,0.265212489,0,0.5,,,,,
572,33608,1144,0.332220239,0.5,0.75,,,,,
573,33658,1146,0.235896299,1,1,,,,,
574,33724,1148,0.147813818,1,1,0.2137359,0.5,0.75,,
575,33790,1150,0.179061705,0.5,0.75,,,,,
576,33840,1152,0.176407694,1,1,,,,,
577,33890,1154,0.134110873,1,1,,,,,
578,33940,1156,0.235530703,0.5,0.75,,,,,
579,33974,1158,0.170696918,1,1,,,,,
580,34040,1160,0.308426067,0,0.5,,,,,
581,34170,1162,0.239535549,1,1,,,,,
582,34236,1164,0.192211093,1,1,,,,,
583,34286,1166,0.166542435,1,1,,,,,
584,34320,1168,0.229226438,1,1,,,,,
585,34354,1170,0.269845812,0.5,0.75,,,,,
586,34436,1172,0.230159369,1,1,,,,,
587,34470,1174,0.21597662,0.5,0.75,,,,,
588,34536,1176,0.338966748,0,0.5,,,,,
589,34586,1178,0.157665198,1,1,,,,,
590,34620,1180,0.417143639,0.5,0.75,,,,,
591,34686,1182,0.231596658,0.5,0.75,,,,,
592,34720,1184,0.283323116,0.5,0.75,,,,,
593,34802,1186,0.224489401,1,1,,,,,
594,34836,1188,0.201178574,1,1,,,,,
595,34870,1190,0.311125058,0,0.5,,,,,
596,35032,1192,0.170453325,1,1,,,,,
597,35066,1194,0.064888837,1,1,,,,,
598,35100,1196,0.220631842,1,1,,,,,
599,35150,1198,0.216963446,1,1,,,,,
600,35232,1200,0.293156411,0,0.5,,,,,
601,35314,1202,0.271646441,0.5,0.75,,,,,
602,35364,1204,0.372773375,0.5,0.75,,,,,
603,35478,1206,0.269862241,0,0.5,,,,,
604,35528,1208,0.263383293,0,0.5,,,,,
605,35610,1210,0.170274338,1,1,,,,,
606,35692,1212,0.34516372,0.5,0.75,,,,,
607,35742,1214,0.306270416,0,0.5,,,,,
608,35808,1216,0.267263672,1,1,,,,,
609,35858,1218,0.177202013,1,1,,,,,
610,35892,1220,0.147248034,1,1,,,,,
611,35958,1222,0.214140779,0.5,0.75,,,,,
612,36040,1224,0.348795727,0,0.5,,,,,
613,36074,1226,0.122472392,1,1,,,,,
614,36108,1228,0.128527751,1,1,,,,,
615,36174,1230,0.293776227,0.5,0.75,,,,,
616,36224,1232,0.366682346,0.5,0.75,,,,,
617,36274,1234,0.184284219,1,1,,,,,
618,36308,1236,0.245395633,0.5,0.75,,,,,
619,36358,1238,0.434386317,0,0.5,,,,,
620,36424,1240,0.199270843,0.5,0.75,,,,,
621,36506,1242,0.21702493,0.5,0.75,,,,,
622,36572,1244,0.294950448,0.5,0.75,,,,,
623,36702,1246,0.219796446,1,1,,,,,
624,36736,1248,0.310318721,0.5,0.75,,,,,
625,36802,1250,0.31075486,0,0.5,,,,,
626,36852,1252,0.28487686,0.5,0.75,,,,,
627,36934,1254,0.205803052,0.5,0.75,,,,,
628,37000,1256,0.210955044,1,1,,,,,
629,37066,1258,0.235168866,0.5,0.75,,,,,
630,37132,1260,0.25181312,0,0.5,,,,,
631,37166,1262,0.307861217,0.5,0.75,,,,,
632,37232,1264,0.241677103,1,1,,,,,
633,37266,1266,0.168383352,1,1,,,,,
634,37348,1268,0.268924506,0.5,0.75,,,,,
635,37414,1270,0.375418161,0,0.5,,,,,
636,37448,1272,0.436096838,0,0.5,,,,,
637,37498,1274,0.203265288,0.5,0.75,,,,,
638,37532,1276,0.239606617,0.5,0.75,,,,,
639,37614,1278,0.266465607,0,0.5,,,,,
640,37664,1280,0.269617327,1,1,,,,,
641,37698,1282,0.392437532,0.5,0.75,,,,,
642,37732,1284,0.269270257,0.5,0.75,,,,,
643,37782,1286,0.228091618,1,1,,,,,
644,37832,1288,0.224554753,0,0.5,,,,,
645,37866,1290,0.40647164,0,0.5,,,,,
646,37916,1292,0.32860032,0.5,0.75,,,,,
647,37966,1294,0.263668676,1,1,,,,,
648,38016,1296,0.315454459,0,0.5,,,,,
649,38050,1298,0.243334353,1,1,,,,,
650,38100,1300,0.194639823,1,1,,,,,
651,38150,1302,0.24965467,0.5,0.75,,,,,
652,38200,1304,0.2096499,0.5,0.75,,,,,
653,38250,1306,0.318874133,0.5,0.75,,,,,
654,38316,1308,0.14597529,1,1,,,,,
655,38382,1310,0.276414307,1,1,,,,,
656,38464,1312,0.296421389,1,1,,,,,
657,38498,1314,0.189202678,1,1,,,,,
658,38564,1316,0.242827036,0.5,0.75,,,,,
659,38646,1318,0.168755228,0.5,0.75,,,,,
660,38680,1320,0.237738837,0.5,0.75,,,,,
661,38746,1322,0.257637451,0.5,0.75,,,,,
662,38796,1324,0.134791661,1,1,,,,,
663,38846,1326,0.233203794,1,1,,,,,
664,38944,1328,0.189963296,0.5,0.75,,,,,
665,38978,1330,0.252953025,0.5,0.75,,,,,
666,39044,1332,0.265709941,0.5,0.75,,,,,
667,39094,1334,0.231694311,0.5,0.75,,,,,
668,39144,1336,0.413657378,0.5,0.75,,,,,
669,39178,1338,0.327560347,0,0.5,,,,,
670,39228,1340,0.124315604,1,1,,,,,
671,39294,1342,0.236022198,0,0.5,0.173469331,0.5,0.75,,
672,39360,1344,0.194945652,0,0.5,,,,,
673,39426,1346,0.411013404,0,0.5,,,,,
674,39476,1348,0.127911785,1,1,,,,,
675,39510,1350,0.203534032,0.5,0.75,,,,,
676,39560,1352,0.224546265,0.5,0.75,,,,,
677,39610,1354,0.342315083,0.5,0.75,,,,,
678,39644,1356,0.318028709,0.5,0.75,,,,,
679,39694,1358,0.224873383,0,0.5,,,,,
680,39744,1360,0.209744394,0,0.5,,,,,
681,39778,1362,0.152041873,0.5,0.75,,,,,
682,39860,1364,0.265708501,0.5,0.75,,,,,
683,39910,1366,0.194457934,0.5,0.75,,,,,
684,39944,1368,0.078730206,0.5,0.75,,,,,
685,39978,1370,0.153947254,1,1,,,,,
686,40076,1372,0.267847617,0.5,0.75,,,,,
687,40110,1374,0.199402905,0.5,0.75,,,,,
688,40160,1376,0.236252134,0.5,0.75,,,,,
689,40226,1378,0.164583554,1,1,,,,,
690,40260,1380,0.33778821,0.5,0.75,,,,,
691,40294,1382,0.143867855,1,1,,,,,
692,40392,1384,0.207132058,1,1,,,,,
693,40426,1386,0.156494958,1,1,,,,,
694,40476,1388,0.235723572,0.5,0.75,,,,,
695,40510,1390,0.202296026,0.5,0.75,,,,,
696,40576,1392,0.289807731,0.5,0.75,,,,,
697,40610,1394,0.348363986,0.5,0.75,,,,,
698,40708,1396,0.166735866,0.5,0.75,,,,,
699,40758,1398,0.320671131,0.5,0.75,,,,,
700,40840,1400,0.220463042,0.5,0.75,,,,,
701,40906,1402,0.250481538,1,1,,,,,
702,40988,1404,0.207528225,0.5,0.75,,,,,
703,41038,1406,0.279595903,0,0.5,,,,,
704,41120,1408,0.227979957,0.5,0.75,,,,,
705,41186,1410,0.300552089,0.5,0.75,,,,,
706,41236,1412,0.314141109,1,1,,,,,
707,41302,1414,0.216292759,1,1,,,,,
708,41368,1416,0.177620482,1,1,,,,,
709,41402,1418,0.378181032,0,0.5,,,,,
710,41468,1420,0.246805017,0,0.5,,,,,
711,41518,1422,0.285909717,1,1,,,,,
712,41600,1424,0.275624627,0.5,0.75,,,,,
713,41634,1426,0.130435684,1,1,,,,,
714,41668,1428,0.247321926,0.5,0.75,,,,,
715,41750,1430,0.298218569,0,0.5,,,,,
716,41992,1432,0.240322609,0.5,0.75,,,,,
717,42042,1434,0.217124622,1,1,,,,,
718,42076,1436,0.238710133,0.5,0.75,,,,,
719,42190,1438,0.256908073,0.5,0.75,,,,,
720,42240,1440,0.152117788,1,1,,,,,
721,42290,1442,0.352394751,0.5,0.75,,,,,
722,42356,1444,0.345447909,0,0.5,,,,,
723,42390,1446,0.176687263,0.5,0.75,,,,,
724,42424,1448,0.364041074,0.5,0.75,,,,,
725,42586,1450,0.245317524,0.5,0.75,,,,,
726,42620,1452,0.248141659,0.5,0.75,,,,,
727,42654,1454,0.286518822,0.5,0.75,,,,,
728,42752,1456,0.295395582,0,0.5,,,,,
729,42818,1458,0.301294883,0,0.5,,,,,
730,42868,1460,0.219233588,1,1,,,,,
731,42918,1462,0.189795222,0.5,0.75,,,,,
732,43000,1464,0.237373377,0.5,0.75,,,,,
733,43050,1466,0.37264466,0,0.5,,,,,
734,43116,1468,0.223305113,0.5,0.75,,,,,
735,43182,1470,0.308846119,0.5,0.75,,,,,
736,43216,1472,0.262541134,1,1,,,,,
737,43266,1474,0.375622626,0,0.5,,,,,
738,43380,1476,0.301595713,0,0.5,,,,,
739,43414,1478,0.17492461,0,0.5,,,,,
740,43464,1480,0.177297797,0.5,0.75,,,,,
741,43514,1482,0.19171419,1,1,,,,,
742,43564,1484,0.171105673,1,1,,,,,
743,43598,1486,0.134770879,0.5,0.75,,,,,
744,43648,1488,0.303733468,0,0.5,,,,,
745,43714,1490,0.216846275,1,1,,,,,
746,43748,1492,0.212925742,1,1,,,,,
747,43846,1494,0.271486052,0.5,0.75,,,,,
748,43896,1496,0.332789789,0,0.5,,,,,
749,43946,1498,0.350011805,0,0.5,,,,,
750,43980,1500,0.289966448,1,1,,,,,
751,44030,1502,0.200416997,1,1,,,,,
752,44080,1504,0.21903067,1,1,,,,,
753,44114,1506,0.259732301,1,1,,,,,
754,44180,1508,0.28471704,0,0.5,,,,,
755,44230,1510,0.295241374,0,0.5,,,,,
756,44296,1512,0.268125335,1,1,,,,,
757,44346,1514,0.216921067,0.5,0.75,,,,,
758,44380,1516,0.260919013,0.5,0.75,,,,,
759,44430,1518,0.341364587,0.5,0.75,,,,,
760,44480,1520,0.247121011,0.5,0.75,,,,,
761,44514,1522,0.178616469,0.5,0.75,,,,,
762,44548,1524,0.23953147,1,1,,,,,
763,44598,1526,0.176290525,1,1,,,,,
764,44632,1528,0.175872981,1,1,,,,,
765,44746,1530,0.231146022,0,0.5,,,,,
766,44812,1532,0.239178959,0.5,0.75,,,,,
767,44910,1534,0.196588429,1,1,0.302980979,0,0.5,,
768,44976,1536,0.196937242,1,1,,,,,
769,45026,1538,0.163907541,1,1,,,,,
770,45060,1540,0.246615823,0.5,0.75,,,,,
771,45110,1542,0.216831188,1,1,,,,,
772,45144,1544,0.176604639,1,1,,,,,
773,45210,1546,0.225938511,1,1,,,,,
774,45356,1548,0.206410084,0.5,0.75,,,,,
775,45406,1550,0.310031934,0,0.5,,,,,
776,45456,1552,0.310989574,0.5,0.75,,,,,
777,45490,1554,0.265551318,0,0.5,,,,,
778,45556,1556,0.349187554,0,0.5,,,,,
779,45622,1558,0.175591053,0.5,0.75,,,,,
780,45672,1560,0.367106524,0,0.5,,,,,
781,45706,1562,0.222230601,1,1,,,,,
782,45740,1564,0.243618171,1,1,,,,,
783,45774,1566,0.413259169,0.5,0.75,,,,,
784,45856,1568,0.234530627,0.5,0.75,,,,,
785,45906,1570,0.184191862,1,1,,,,,
786,45988,1572,0.178919419,0,0.5,,,,,
787,46054,1574,0.241832787,0.5,0.75,,,,,
788,46088,1576,0.230503845,0,0.5,,,,,
789,46138,1578,0.189770378,1,1,,,,,
790,46188,1580,0.197118669,1,1,,,,,
791,46254,1582,0.320772371,0,0.5,,,,,
792,46304,1584,0.311909426,0.5,0.75,,,,,
793,46402,1586,0.231811196,1,1,,,,,
794,46452,1588,0.284142554,0.5,0.75,,,,,
795,46486,1590,0.254425085,0.5,0.75,,,,,
796,46552,1592,0.248685063,0.5,0.75,,,,,
797,46602,1594,0.208658941,1,1,,,,,
798,46636,1596,0.270497555,0.5,0.75,,,,,
799,46670,1598,0.410381996,0,0.5,,,,,
800,46704,1600,0.165773448,0.5,0.75,,,,,
801,46738,1602,0.407209716,0.5,0.75,,,,,
802,46788,1604,0.158414007,0.5,0.75,,,,,
803,46838,1606,0.23133985,0.5,0.75,,,,,
804,46888,1608,0.292062521,0.5,0.75,,,,,
805,47002,1610,0.213534159,0.5,0.75,,,,,
806,47068,1612,0.412817589,0.5,0.75,,,,,
807,47102,1614,0.270534008,0.5,0.75,,,,,
808,47152,1616,0.330835485,0,0.5,,,,,
809,47186,1618,0.384635385,0,0.5,,,,,
810,47284,1620,0.265933988,1,1,,,,,
811,47334,1622,0.245344654,0.5,0.75,,,,,
812,47400,1624,0.196507699,0.5,0.75,,,,,
813,47434,1626,0.18159041,1,1,,,,,
814,47484,1628,0.196154192,1,1,,,,,
815,47518,1630,0.381538718,0.5,0.75,,,,,
816,47552,1632,0.198009546,0.5,0.75,,,,,
817,47602,1634,0.235256214,1,1,,,,,
818,47668,1636,0.26651113,1,1,,,,,
819,47718,1638,0.373792197,1,1,,,,,
820,47816,1640,0.267176838,0.5,0.75,,,,,
821,47882,1642,0.219656284,0.5,0.75,,,,,
822,47932,1644,0.411964424,0,0.5,,,,,
823,47982,1646,0.199729874,0.5,0.75,,,,,
824,48016,1648,0.210181242,0.5,0.75,,,,,
825,48066,1650,0.247491588,0.5,0.75,,,,,
826,48132,1652,0.240073334,1,1,,,,,
827,48166,1654,0.149472696,1,1,,,,,
828,48216,1656,0.346881166,0.5,0.75,,,,,
829,48282,1658,0.247455795,0.5,0.75,,,,,
830,48316,1660,0.231640656,0.5,0.75,,,,,
831,48350,1662,0.384850127,0.5,0.75,,,,,
832,48400,1664,0.244792448,0.5,0.75,,,,,
833,48434,1666,0.233404764,0.5,0.75,,,,,
834,48516,1668,0.208140698,0.5,0.75,,,,,
835,48582,1670,0.24143929,1,1,,,,,
836,48632,1672,0.17001571,0.5,0.75,,,,,
837,48666,1674,0.135158401,1,1,,,,,
838,48764,1676,0.359640596,0,0.5,,,,,
839,48910,1678,0.221452654,0,0.5,,,,,
840,48960,1680,0.204875116,1,1,,,,,
841,49010,1682,0.270047519,1,1,,,,,
842,49044,1684,0.326819856,0,0.5,,,,,
843,49094,1686,0.188768778,1,1,,,,,
844,49144,1688,0.153929222,1,1,,,,,
845,49226,1690,0.205320025,0.5,0.75,,,,,
846,49260,1692,0.281870398,0.5,0.75,,,,,
847,49294,1694,0.403223238,0.5,0.75,,,,,
848,49360,1696,0.25379153,0,0.5,,,,,
849,49490,1698,0.269069322,1,1,,,,,
850,49588,1700,0.14380007,1,1,,,,,
851,49622,1702,0.26827663,0.5,0.75,,,,,
852,49672,1704,0.169170259,0,0.5,,,,,
853,49722,1706,0.220988627,0.5,0.75,,,,,
854,49756,1708,0.422931202,0,0.5,,,,,
855,49790,1710,0.21573542,0.5,0.75,,,,,
856,49840,1712,0.305755552,1,1,,,,,
857,49874,1714,0.221173097,0.5,0.75,,,,,
858,50020,1716,0.234832376,0.5,0.75,,,,,
859,50166,1718,0.202886484,0.5,0.75,,,,,
860,50200,1720,0.256459381,0.5,0.75,,,,,
861,50234,1722,0.170641129,0.5,0.75,,,,,
862,50300,1724,0.195721457,0.5,0.75,,,,,
863,50350,1726,0.144543654,1,1,,,,,
864,50400,1728,0.248433901,0.5,0.75,,,,,
865,50450,1730,0.287322802,0.5,0.75,,,,,
866,50500,1732,0.300190874,0.5,0.75,,,,,
867,50534,1734,0.212072761,1,1,0.413633573,0.5,0.75,,
868,50648,1736,0.215902186,0.5,0.75,,,,,
869,50714,1738,0.283718136,1,1,,,,,
870,50764,1740,0.346122004,0.5,0.75,,,,,
871,50814,1742,0.182330759,0.5,0.75,,,,,
872,50912,1744,0.286309459,0,0.5,,,,,
873,50946,1746,0.170506687,1,1,,,,,
874,50980,1748,0.226191997,0.5,0.75,,,,,
875,51014,1750,0.222676679,1,1,,,,,
876,51064,1752,0.236761568,0,0.5,,,,,
877,51098,1754,0.203395747,0.5,0.75,,,,,
878,51164,1756,0.260668498,1,1,,,,,
879,51198,1758,0.341937602,0.5,0.75,,,,,
880,51264,1760,0.170020714,0.5,0.75,,,,,
881,51298,1762,0.372171163,0,0.5,,,,,
882,51332,1764,0.161263263,1,1,,,,,
883,51366,1766,0.226540423,0.5,0.75,,,,,
884,51448,1768,0.216631259,1,1,,,,,
885,51514,1770,0.211422787,0.5,0.75,,,,,
886,51564,1772,0.194579862,1,1,,,,,
887,51630,1774,0.168850865,0,0.5,,,,,
888,51696,1776,0.235954002,1,1,,,,,
889,51746,1778,0.273611469,0.5,0.75,,,,,
890,51796,1780,0.249908809,1,1,,,,,
891,51878,1782,0.248689738,0.5,0.75,,,,,
892,51944,1784,0.325039969,0,0.5,,,,,
893,51978,1786,0.283090667,1,1,,,,,
894,52012,1788,0.320547133,1,1,,,,,
895,52078,1790,0.161502788,1,1,,,,,
896,52128,1792,0.268057421,0.5,0.75,,,,,
897,52178,1794,0.161875091,1,1,,,,,
898,52244,1796,0.234587056,0.5,0.75,,,,,
899,52294,1798,0.264026784,0.5,0.75,,,,,
900,52360,1800,0.271255406,1,1,,,,,
901,52634,1802,0.268642061,0.5,0.75,,,,,
902,52700,1804,0.170098324,0.5,0.75,,,,,
903,52798,1806,0.369075228,0.5,0.75,,,,,
904,52832,1808,0.258806878,1,1,,,,,
905,52866,1810,0.121597606,1,1,,,,,
906,52916,1812,0.150732312,1,1,,,,,
907,52966,1814,0.35505635,0.5,0.75,,,,,
908,53032,1816,0.249918014,0.5,0.75,,,,,
909,53082,1818,0.253912458,0.5,0.75,,,,,
910,53116,1820,0.220008323,0.5,0.75,,,,,
911,53166,1822,0.355016463,0,0.5,,,,,
912,53216,1824,0.248049916,0.5,0.75,,,,,
913,53266,1826,0.233785293,0.5,0.75,,,,,
914,53300,1828,0.301322298,0.5,0.75,,,,,
915,53350,1830,0.233461117,0.5,0.75,,,,,
916,53432,1832,0.178507961,0.5,0.75,,,,,
917,53482,1834,0.413221273,0,0.5,,,,,
918,53516,1836,0.588605775,0.5,0.75,,,,,
919,53566,1838,0.288621271,0,0.5,,,,,
920,53616,1840,0.215526917,1,1,,,,,
921,53650,1842,0.288146114,1,1,,,,,
922,53700,1844,0.262655249,0,0.5,,,,,
923,53750,1846,0.254348909,1,1,,,,,
924,53800,1848,0.287533848,1,1,,,,,
925,53834,1850,0.261188135,1,1,,,,,
926,53900,1852,0.158831145,0.5,0.75,,,,,
927,53934,1854,0.209008883,0.5,0.75,,,,,
928,53968,1856,0.167830404,1,1,,,,,
929,54002,1858,0.298040364,0,0.5,,,,,
930,54036,1860,0.258584249,1,1,,,,,
931,54070,1862,0.336948108,0.5,0.75,,,,,
932,54136,1864,0.259262836,0.5,0.75,,,,,
933,54186,1866,0.332760813,0.5,0.75,,,,,
934,54252,1868,0.177234592,1,1,,,,,
935,54302,1870,0.272089791,0.5,0.75,,,,,
936,54352,1872,0.285450042,0.5,0.75,,,,,
937,54450,1874,0.301504347,0.5,0.75,,,,,
938,54484,1876,0.171712663,1,1,,,,,
939,54790,1878,0.231164981,0,0.5,,,,,
940,54840,1880,0.338827529,1,1,,,,,
941,54906,1882,0.286517386,0.5,0.75,,,,,
942,54956,1884,0.142099999,1,1,,,,,
943,54990,1886,0.315040949,0.5,0.75,,,,,
944,55040,1888,0.162206022,1,1,,,,,
945,55090,1890,0.325026926,0.5,0.75,,,,,
946,55140,1892,0.124923153,1,1,,,,,
947,55206,1894,0.308495203,0.5,0.75,,,,,
948,55240,1896,0.243238504,0.5,0.75,,,,,
949,55290,1898,0.164432596,1,1,,,,,
950,55324,1900,0.150566905,1,1,,,,,
951,55374,1902,0.354695807,0.5,0.75,,,,,
952,55472,1904,0.32842675,0,0.5,,,,,
953,55506,1906,0.104564308,1,1,,,,,
954,55556,1908,0.173046759,0.5,0.75,,,,,
955,55622,1910,0.213251782,1,1,,,,,
956,55656,1912,0.19910784,1,1,,,,,
957,55706,1914,0.181528559,0.5,0.75,,,,0.614906847,0.59233177
958,55740,1916,0.195649402,0.5,0.75,,,,,
959,55838,1918,0.167595388,1,1,,,,,
960,55904,1920,0.282146524,0,0.5,,,,,
961,55938,1922,0.182441061,1,1,,,,,
962,55972,1924,0.17458573,1,1,,,,,
963,56022,1926,0.159824821,0.5,0.75,,,,,
964,56072,1928,0.24728401,0.5,0.75,0.345751509,0.5,0.75,,
965,56106,1930,0.096978379,1,1,,,,,
966,56268,1932,0.139300093,0.5,0.75,,,,,
967,56318,1934,0.238570766,1,1,,,,,
968,56368,1936,0.207622709,1,1,,,,,
969,56434,1938,0.200564461,1,1,,,,,
970,56468,1940,0.13476978,1,1,,,,,
971,56502,1942,0.195941892,1,1,,,,,
972,56552,1944,0.37650834,0,0.5,,,,,
973,56586,1946,0.148373172,0.5,0.75,,,,,
974,56748,1948,0.186471218,1,1,,,,,
975,56830,1950,0.189665448,1,1,,,,,
976,56880,1952,0.271732742,0,0.5,,,,,
977,56930,1954,0.393292855,0,0.5,,,,,
978,57092,1956,0.228232755,0.5,0.75,,,,,
979,57126,1958,0.217783129,0.5,0.75,,,,,
980,57176,1960,0.155352694,1,1,,,,,
981,57226,1962,0.117257185,1,1,,,,,
982,57276,1964,0.112036348,1,1,,,,,
983,57342,1966,0.205717701,0.5,0.75,,,,,
984,57408,1968,0.164780628,1,1,,,,,
985,57538,1970,0.333482108,0.5,0.75,,,,,
986,57588,1972,0.173447862,1,1,,,,,
987,57622,1974,0.226168549,1,1,,,,,
988,57704,1976,0.148291365,1,1,,,,,
989,57770,1978,0.209024706,0,0.5,,,,,
990,57884,1980,0.235822658,0,0.5,,,,,
991,57950,1982,0.311700442,0,0.5,,,,,
992,58016,1984,0.172676725,1,1,,,,,
993,58066,1986,0.211962407,0.5,0.75,,,,,
994,58196,1988,0.237414135,0.5,0.75,,,,,
995,58230,1990,0.149401317,0.5,0.75,,,,,
996,58296,1992,0.280351934,0,0.5,,,,,
997,58346,1994,0.250433004,0.5,0.75,,,,,
998,58412,1996,0.181727157,0.5,0.75,,,,,
999,58478,1998,0.184589734,0.5,0.75,,,,,
1000,58544,2000,0.14338596,0.5,0.75,,,,,
1001,58594,2002,0.231639947,0.5,0.75,,,,,
1002,58644,2004,0.16979445,1,1,,,,,
1003,58678,2006,0.251628128,0.5,0.75,,,,,
1004,58728,2008,0.123931077,1,1,,,,,
1005,58794,2010,0.199046401,1,1,,,,,
1006,58844,2012,0.311783416,1,1,,,,,
1007,58894,2014,0.162344078,0.5,0.75,,,,,
1008,58944,2016,0.177538978,0,0.5,,,,,
1009,58978,2018,0.177046279,0.5,0.75,,,,,
1010,59012,2020,0.17925357,1,1,,,,,
1011,59062,2022,0.16702581,0.5,0.75,,,,,
1012,59128,2024,0.292523303,0,0.5,,,,,
1013,59178,2026,0.126311404,0.5,0.75,,,,,
1014,59212,2028,0.29498971,0.5,0.75,,,,,
1015,59278,2030,0.28132624,1,1,,,,,
1016,59376,2032,0.240863759,0,0.5,,,,,
1017,59458,2034,0.253754574,0.5,0.75,,,,,
1018,59508,2036,0.173622558,1,1,,,,,
1019,59558,2038,0.156707378,1,1,,,,,
1020,59608,2040,0.260222572,0.5,0.75,,,,,
1021,59674,2042,0.393806429,0.5,0.75,,,,,
1022,59724,2044,0.200279395,0,0.5,,,,,
1023,59822,2046,0.215909596,1,1,,,,,
1024,59888,2048,0.285493917,0.5,0.75,,,,,
1025,60002,2050,0.193839801,1,1,,,,,
1026,60052,2052,0.205219298,1,1,,,,,
1027,60086,2054,0.153189644,0.5,0.75,,,,,
1028,60120,2056,0.201181838,0.5,0.75,,,,,
1029,60186,2058,0.283018841,0.5,0.75,,,,,
1030,60220,2060,0.191755956,0.5,0.75,,,,,
1031,60302,2062,0.213974729,0,0.5,,,,,
1032,60352,2064,0.25973024,0.5,0.75,,,,,
1033,60386,2066,0.163987306,0.5,0.75,,,,,
1034,60436,2068,0.202223732,0.5,0.75,,,,,
1035,60502,2070,0.189413725,1,1,,,,,
1036,60536,2072,0.102965225,1,1,,,,,
1037,60634,2074,0.202057694,0.5,0.75,,,,,
1038,60748,2076,0.252467818,0.5,0.75,,,,,
1039,60798,2078,0.298918175,0,0.5,,,,,
1040,60832,2080,0.124250841,1,1,,,,,
1041,60866,2082,0.317457596,0.5,0.75,,,,,
1042,60916,2084,0.148304896,1,1,,,,,
1043,60950,2086,0.139633958,1,1,,,,,
1044,60984,2088,0.175004009,1,1,,,,,
1045,61050,2090,0.171719637,0.5,0.75,,,,,
1046,61084,2092,0.195493023,0.5,0.75,,,,,
1047,61118,2094,0.149502651,1,1,,,,,
1048,61200,2096,0.241885744,0.5,0.75,,,,,
1049,61266,2098,0.231668945,1,1,,,,,
1050,61300,2100,0.144684357,1,1,,,,,
1051,61350,2102,0.25104345,0.5,0.75,,,,,
1052,61384,2104,0.25257126,0,0.5,,,,,
1053,61450,2106,0.112013096,1,1,,,,,
1054,61484,2108,0.163873742,0.5,0.75,,,,,
1055,61518,2110,0.163030504,0.5,0.75,,,,,
1056,61568,2112,0.140646252,1,1,,,,,
1057,61602,2114,0.087915885,1,1,,,,,
1058,61652,2116,0.193334532,0,0.5,0.218341183,0.5,0.75,,
1059,61718,2118,0.161221667,1,1,,,,,
1060,61752,2120,0.10469692,1,1,,,,,
1061,61818,2122,0.341519078,0,0.5,,,,,
1062,61852,2124,0.361704949,0.5,0.75,,,,,
1063,61918,2126,0.161034421,1,1,,,,,
1064,61968,2128,0.289208578,0.5,0.75,,,,,
1065,62018,2130,0.113658354,1,1,,,,,
1066,62052,2132,0.155816172,1,1,,,,,
1067,62102,2134,0.136128161,1,1,,,,,
1068,62152,2136,0.24558049,0.5,0.75,,,,,
1069,62250,2138,0.252074367,0.5,0.75,,,,,
1070,62284,2140,0.168618565,1,1,,,,,
1071,62334,2142,0.187383769,1,1,,,,,
1072,62368,2144,0.098702998,1,1,,,,,
1073,62402,2146,0.127796989,1,1,,,,,
1074,62452,2148,0.254543046,0.5,0.75,,,,,
1075,62486,2150,0.240917709,0.5,0.75,,,,,
1076,62520,2152,0.21092092,0.5,0.75,,,,,
1077,62602,2154,0.242707873,0.5,0.75,,,,,
1078,62652,2156,0.200720027,0,0.5,,,,,
1079,62718,2158,0.170394968,1,1,,,,,
1080,62896,2160,0.186176234,1,1,,,,,
1081,62930,2162,0.242481463,1,1,,,,,
1082,62980,2164,0.184827572,1,1,,,,,
1083,63030,2166,0.11739597,1,1,,,,,
1084,63080,2168,0.071113961,1,1,,,,,
1085,63146,2170,0.162962491,0.5,0.75,,,,,
1086,63212,2172,0.158822588,1,1,,,,,
1087,63262,2174,0.154535863,0.5,0.75,,,,,
1088,63328,2176,0.180724088,0.5,0.75,,,,,
1089,63362,2178,0.212839586,0.5,0.75,,,,,
1090,63412,2180,0.197928973,0.5,0.75,,,,,
1091,63478,2182,0.162790251,1,1,,,,,
1092,63528,2184,0.193249056,0.5,0.75,,,,,
1093,63610,2186,0.24700254,0,0.5,,,,,
1094,63644,2188,0.129306659,1,1,,,,,
1095,63694,2190,0.272852443,0,0.5,,,,,
1096,63728,2192,0.168615091,1,1,,,,,
1097,63778,2194,0.124877833,1,1,,,,,
1098,63924,2196,0.196019594,0.5,0.75,,,,,
1099,64038,2198,0.196079628,1,1,,,,,
1100,64120,2200,0.235642326,0.5,0.75,,,,,
1101,64186,2202,0.159164928,0.5,0.75,,,,,
