step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
127,7454,254,0.242792504,0.5,0.75,,,,,
128,7504,256,0.122555578,1,1,,,,,
129,7538,258,0.326472643,0.5,0.75,,,,,
130,7588,260,0.288884314,0.5,0.75,,,,,
131,7638,262,0.295992076,0.5,0.75,,,,,
132,7672,264,0.26523053,0.5,0.75,,,,,
133,7738,266,0.219480092,0.5,0.75,,,,,
134,7788,268,0.179015338,1,1,,,,,
135,7838,270,0.279501848,1,1,,,,,
136,7888,272,0.262840682,0.5,0.75,,,,,
137,7970,274,0.36283539,0.5,0.75,,,,,
138,8052,276,0.329758951,0,0.5,,,,,
139,8086,278,0.323954103,0.5,0.75,,,,,
140,8120,280,0.21083006,1,1,,,,,
141,8186,282,0.24781243,0.5,0.75,,,,,
142,8220,284,0.181955016,1,1,,,,,
143,8270,286,0.241741921,0,0.5,,,,,
144,8320,288,0.202329586,1,1,,,,,
145,8450,290,0.304111033,0.5,0.75,,,,,
146,8516,292,0.280304173,0.5,0.75,,,,,
147,8566,294,0.189656984,0.5,0.75,,,,,
148,8632,296,0.170539444,1,1,,,,,
149,8682,298,0.316862835,0,0.5,,,,,
150,8732,300,0.400789848,0,0.5,,,,,
151,8766,302,0.586064244,0,0.5,,,,,
152,8832,304,0.198708254,0.5,0.75,,,,,
153,8914,306,0.241951151,1,1,,,,,
154,8980,308,0.281538882,0,0.5,,,,,
155,9014,310,0.293171583,0.5,0.75,,,,,
156,9096,312,0.246676343,0.5,0.75,,,,,
157,9130,314,0.393664825,0,0.5,,,,,
158,9180,316,0.481153505,0,0.5,,,,,
159,9214,318,0.222196419,1,1,,,,,
160,9264,320,0.181598727,1,1,,,,,
161,9298,322,0.112090677,1,1,,,,,
162,9364,324,0.220786595,0.5,0.75,,,,,
163,9414,326,0.290213795,0.5,0.75,,,,,
164,9480,328,0.200982188,0.5,0.75,,,,,
165,9530,330,0.194147847,1,1,,,,,
166,9580,332,0.218757889,0.5,0.75,,,,,
167,9662,334,0.303014237,0,0.5,,,,,
168,9776,336,0.175455083,0.5,0.75,,,,,
169,9826,338,0.534277672,0,0.5,,,,,
170,9892,340,0.253964663,0.5,0.75,,,,,
171,9942,342,0.326875175,0,0.5,,,,,
172,10008,344,0.308357708,0,0.5,,,,,
173,10106,346,0.17737136,1,1,,,,,
174,10172,348,0.358249964,0,0.5,,,,,
175,10270,350,0.25593088,1,1,,,,,
176,10336,352,0.248032476,0,0.5,,,,,
177,10386,354,0.24792242,0.5,0.75,,,,,
178,10468,356,0.226821061,1,1,,,,,
179,10534,358,0.256543294,0.5,0.75,,,,,
180,10584,360,0.226541624,0.5,0.75,,,,,
181,10634,362,0.229161185,1,1,,,,,
182,10668,364,0.256623445,0.5,0.75,,,,,
183,10702,366,0.266672543,0.5,0.75,,,,,
184,10752,368,0.196638034,1,1,,,,,
185,10802,370,0.260524598,0,0.5,,,,,
186,10836,372,0.210673592,0.5,0.75,,,,,
187,10918,374,0.265630905,1,1,,,,,
188,11000,376,0.334168207,0,0.5,,,,,
189,11050,378,0.235558518,0.5,0.75,,,,,
190,11116,380,0.390754132,0,0.5,,,,,
191,11246,382,0.386893876,0.5,0.75,0.347001462,0.5,0.75,,
192,11280,384,0.345891088,0,0.5,,,,,
193,11314,386,0.157689221,1,1,,,,,
194,11348,388,0.289630813,1,1,,,,,
195,11430,390,0.298215219,0.5,0.75,,,,,
196,11480,392,0.392239106,0.5,0.75,,,,,
197,11658,394,0.227040211,0.5,0.75,,,,,
198,11724,396,0.243375554,0.5,0.75,,,,,
199,11822,398,0.289008287,1,1,,,,,
200,11856,400,0.331747323,0.5,0.75,,,,,
201,11938,402,0.331891636,0.5,0.75,,,,,
202,12036,404,0.251287879,1,1,,,,,
203,12086,406,0.352447982,0,0.5,,,,,
204,12200,408,0.250246655,0.5,0.75,,,,,
205,12250,410,0.431157696,0.5,0.75,,,,,
206,12316,412,0.260270597,1,1,,,,,
207,12366,414,0.301601362,1,1,,,,,
208,12432,416,0.203676712,0,0.5,,,,,
209,12498,418,0.310296594,0.5,0.75,,,,,
210,12532,420,0.21930777,0.5,0.75,,,,,
211,12582,422,0.356989011,0.5,0.75,,,,,
212,12632,424,0.42123772,0,0.5,,,,,
213,12698,426,0.279936997,0.5,0.75,,,,,
214,12716,428,0.506821287,0.5,0.75,,,,,
215,12782,430,0.347167644,0,0.5,,,,,
216,12848,432,0.292390261,0.5,0.75,,,,,
217,12946,434,0.233791138,0,0.5,,,,,
218,13044,436,0.29767716,0,0.5,,,,,
219,13094,438,0.222996487,0.5,0.75,,,,,
220,13128,440,0.24174489,0.5,0.75,,,,,
221,13194,442,0.305690443,0.5,0.75,,,,,
222,13308,444,0.157851251,1,1,,,,,
223,13374,446,0.321543249,1,1,,,,,
224,13408,448,0.183888437,0.5,0.75,,,,,
225,13458,450,0.265054265,0.5,0.75,,,,,
226,13524,452,0.231334152,0,0.5,,,,,
227,13574,454,0.227697134,1,1,,,,,
228,13672,456,0.363771316,0,0.5,,,,,
229,13706,458,0.582399714,0,0.5,,,,,
230,13740,460,0.464579814,0,0.5,,,,,
231,13806,462,0.206795776,1,1,,,,,
232,13872,464,0.274170353,0.5,0.75,,,,,
233,13922,466,0.24894806,0.5,0.75,,,,,
234,13988,468,0.148810904,1,1,,,,,
235,14102,470,0.278732744,0.5,0.75,,,,,
236,14136,472,0.244044226,0.5,0.75,,,,,
237,14170,474,0.190716824,0.5,0.75,,,,,
238,14300,476,0.204294159,0.5,0.75,,,,,
239,14334,478,0.271695057,0.5,0.75,,,,,
240,14368,480,0.223379932,0.5,0.75,,,,,
241,14418,482,0.313124275,0.5,0.75,,,,,
242,14452,484,0.260645916,1,1,,,,,
243,14502,486,0.186183544,1,1,,,,,
244,14552,488,0.160634495,0.5,0.75,,,,,
245,14602,490,0.175843533,1,1,,,,,
246,14716,492,0.249862617,0,0.5,,,,,
247,14798,494,0.212143823,0.5,0.75,,,,,
248,14848,496,0.309922312,0.5,0.75,,,,,
249,14898,498,0.242600144,0.5,0.75,,,,,
250,14948,500,0.147902302,0.5,0.75,,,,,
251,14982,502,0.23546398,0,0.5,,,,,
252,15016,504,0.158550582,0.5,0.75,,,,,
253,15050,506,0.152678349,1,1,,,,,
254,15084,508,0.302654116,0,0.5,,,,,
255,15134,510,0.262835587,0,0.5,,,,,
256,15184,512,0.195256659,0.5,0.75,,,,,
257,15250,514,0.37328181,0.5,0.75,,,,,
258,15316,516,0.252834544,0.5,0.75,,,,,
259,15350,518,0.21492066,0.5,0.75,,,,,
260,15416,520,0.163691052,0.5,0.75,,,,,
261,15450,522,0.166808306,0.5,0.75,,,,,
262,15484,524,0.123673485,1,1,,,,,
263,15534,526,0.259353759,0.5,0.75,,,,,
264,15568,528,0.264688307,0.5,0.75,,,,,
265,15634,530,0.29774979,0.5,0.75,,,,,
266,15700,532,0.310115387,0.5,0.75,,,,,
267,15734,534,0.143013052,0.5,0.75,,,,,
268,15800,536,0.313622795,0.5,0.75,,,,,
269,15866,538,0.285684569,0.5,0.75,,,,,
270,15900,540,0.305921684,1,1,,,,,
271,15950,542,0.134041175,1,1,,,,,
272,16032,544,0.357080297,0.5,0.75,,,,,
273,16082,546,0.123197057,1,1,,,,,
274,16116,548,0.304132553,0.5,0.75,,,,,
275,16150,550,0.227142055,1,1,,,,,
276,16200,552,0.267121459,0.5,0.75,,,,,
277,16266,554,0.443273359,0,0.5,,,,,
278,16300,556,0.31651161,0.5,0.75,,,,,
279,16350,558,0.231894634,0.5,0.75,,,,,
280,16384,560,0.195147452,1,1,,,,,
281,16434,562,0.212374922,0.5,0.75,,,,,
282,16484,564,0.389682854,0.5,0.75,,,,,
283,16518,566,0.225465494,0,0.5,,,,,
284,16584,568,0.224296462,1,1,,,,,
285,16634,570,0.197780472,0.5,0.75,,,,,
286,16684,572,0.18778724,1,1,,,,,
287,16750,574,0.218650964,0.5,0.75,0.156846662,0.5,0.75,,
288,16800,576,0.194029356,1,1,,,,,
289,16866,578,0.269364743,0,0.5,,,,,
290,16932,580,0.211741079,0.5,0.75,,,,,
291,16966,582,0.247165724,0,0.5,,,,,
292,17016,584,0.209192369,1,1,,,,,
293,17066,586,0.17648271,0.5,0.75,,,,,
294,17116,588,0.068759323,1,1,,,,,
295,17150,590,0.334702998,0.5,0.75,,,,,
296,17184,592,0.23330299,0.5,0.75,,,,,
297,17218,594,0.365519123,0,0.5,,,,,
298,17252,596,0.144375165,1,1,,,,,
